YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
,,,,,,,,,
,,,,,80.4950408935547,84.4149475097656,85.6253280639648,84.3305892944336,
47.9,51.2,,63.2,58.6,,,65.2,,
,,40.4,,,,,38.2,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
-0.0171307871939917,-0.00457727927184819,-0.0147852706361942,-0.0197290961782765,-0.00640447008037321,-0.0165263404181704,-0.0186953518067645,-0.0115932177500368,-0.00955242759535636,
,,,,,,,,,
93.7,95.0,95.6,96.2,96.5,96.6,,99.6,,
,,8.1,,,,4.8,,,
0.414667859828584,0.303493541104839,0.328815696575954,0.545543961677506,1.04591457269183,0.906115723906252,0.9079643786583,0.866524432561704,0.558237602901084,
104.360450744629,102.410400390625,98.6496505737305,98.4260711669922,99.5866012573242,97.3209075927734,96.7783737182617,98.594367980957,102.738052368164,104.592140197754
98.1,,,,,,,97.6,,
,,,,,,,9.0,,
0.453093966121807,0.239972240521241,0.388835939817663,0.42815873249142,0.469853919875989,0.386919564692226,0.38931249534713,0.284216279998194,0.296584675999227,
92.7633590698242,,96.2008895874023,97.5711212158203,97.7113189697266,96.2306976318359,94.3737487792969,,91.661491394043,94.5591278076172
,,,,,79.3,,,,
,,,38.7,37.9,,34.7,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
-0.135000393000816,-0.117913288236962,0.0249455622620078,0.363855254877079,0.0653978770734099,0.26108700272698,0.239073772468521,-0.32884038109657,-0.261834226220805,
,,,,,,93.4525527954102,93.4204711914063,94.411376953125,95.0630798339844
,98.1,98.1,,,98.1,,,98.6,
,16.4,,,,10.5,,,13.4,
,,,,,,,,,
,,,,,,98.8321990966797,100.092697143555,100.489051818848,
,,,,,,,,,
,2.2,,2.4,,3.5,,3.4,,
